Private School Name,State Name [Private School] Latest available year,Phone Number [Private School] 2009-10,Mailing Address [Private School] 2009-10,City [Private School] 2009-10,State Abbr [Private School] Latest available year,ZIP [Private School] 2009-10
ST MARY S JR/SR HIGH SCHOOL,MASSACHUSETTS,5087531170,50 RICHLAND ST,WORCESTER,MA ,01610
ST MARY S RYKEN HIGH SCHOOL,MARYLAND,3014752814,22600 CAMP CALVERT RD,LEONARDTOWN,MD ,20650
ST MARY S SCHOOL,WISCONSIN,7152462469,257 S WASHINGTON AVE,NEW RICHMOND,WI ,54017
ST MARY S SCHOOL,TEXAS,8063769112,1200 S WASHINGTON ST,AMARILLO,TX ,79102
ST MARY S SCHOOL,CALIFORNIA,7603527285,700 S WATERMAN AVE,EL CENTRO,CA ,92243
ST MARY S SCHOOL,IDAHO,2088822121,412 N MONROE ST,MOSCOW,ID ,83843
ST MARY S SCHOOL,MINNESOTA,3205891704,411 COLORADO AVE,MORRIS,MN ,56267
ST MARY S SCHOOL,WYOMING,3076389268,2200 ONEIL AVE,CHEYENNE,WY ,82001
ST MARY SCHOOL,MICHIGAN,2312569636,PO BOX 340,LAKE LEELANAU,MI ,49653
ST MARY SCHOOL,MICHIGAN,9894634579,220 W DOWNIE ST,ALMA,MI ,48801
ST MARY SCHOOL,NEW JERSEY,9737925749,520 MARTIN LUTHER KING JR BLVD,NEWARK,NJ ,07102
ST MARY SCHOOL,CONNECTICUT,2034387288,183 HIGH RIDGE AVE,RIDGEFIELD,CT ,06877
ST MARY SCHOOL,OHIO,4199432801,129 SAINT MARYS ST,LEIPSIC,OH ,45856
ST MARY SCHOOL,MICHIGAN,2696839191,217 S LINCOLN AVE,NILES,MI ,49120
ST MARY SCHOOL,MICHIGAN,2696573750,508 E PAW PAW ST,PAW PAW,MI ,49079
ST MARY SCHOOL,MICHIGAN,2317966731,927 MARION AVE,BIG RAPIDS,MI ,49307
ST MARY SCHOOL,MICHIGAN,2315479441,1005 BRIDGE ST,CHARLEVOIX,MI ,49720
ST MARY SCHOOL,MASSACHUSETTS,6177735237,121 CRESCENT ST,QUINCY,MA ,02169
ST MARY SCHOOL,MICHIGAN,7342413377,151 N MONROE ST,MONROE,MI ,48162
ST MARY SCHOOL,CALIFORNIA,9164521100,1351 58TH ST,SACRAMENTO,CA ,95819
ST MARY SCHOOL,KENTUCKY,8596359539,9 S JEFFERSON ST,ALEXANDRIA,KY ,41001
ST MARY SCHOOL,KENTUCKY,8599873815,1121 MAIN ST,PARIS,KY ,40361
ST MARY SCHOOL,GEORGIA,7062344953,401 E 7TH ST SE,ROME,GA ,30161
ST MARY SCHOOL,ILLINOIS,6185323473,424 E BROADWAY,CENTRALIA,IL ,62801
ST MARY SCHOOL,CONNECTICUT,8609287046,23 MARSHALL ST,PUTNAM,CT ,06260
ST MARY SCHOOL,CONNECTICUT,8603472978,87 S MAIN ST,MIDDLETOWN,CT ,06457
ST MARY SCHOOL,CONNECTICUT,2038786539,72 GULF ST,MILFORD,CT ,06460
ST MARY SCHOOL,CONNECTICUT,2034888386,62 CEDAR ST,BRANFORD,CT ,06405
ST MARY SCHOOL,ILLINOIS,8157567905,210 GURLER RD,DEKALB,IL ,60115
ST MARY SCHOOL,ILLINOIS,8476956609,103 S GIFFORD ST,ELGIN,IL ,60120
ST MARY SCHOOL,ILLINOIS,6184658523,536 E 3RD ST,ALTON,IL ,62002
ST MARY SCHOOL,ILLINOIS,2178246501,422 S WASHINGTON ST,TAYLORVILLE,IL ,62568
ST MARY SCHOOL,ILLINOIS,2172350431,2000 RICHMOND AVE,MATTOON,IL ,61938
ST MARY SCHOOL,INDIANA,7652885308,2301 W GILBERT ST,MUNCIE,IN ,47303
ST MARY SCHOOL,INDIANA,2199248633,525 N BROAD ST,GRIFFITH,IN ,46319
ST MARY SCHOOL,TENNESSEE,4232823397,2211 E LAKEVIEW DR,JOHNSON CITY,TN ,37601
ST MARY SCHOOL,SOUTH DAKOTA,6053349881,2001 S 5TH AVE,SIOUX FALLS,SD ,57105
ST MARY SCHOOL,WISCONSIN,6083485806,345 N COURT ST,PLATTEVILLE,WI ,53818
ST MARY SCHOOL,WISCONSIN,6087424998,315 W COOK ST,PORTAGE,WI ,53901
ST MARY SCHOOL,WISCONSIN,7152676477,PO BOX 129,GREENWOOD,WI ,54437
ST MARY SCHOOL,WISCONSIN,7154433430,PO BOX 102,MARATHON,WI ,54448
ST MARY SCHOOL,WISCONSIN,9204676291,313 GIDDINGS AVE,SHEBOYGAN FALLS,WI ,53085
ST MARY SCHOOL,WISCONSIN,9204875004,214 CHURCH ST,ALGOMA,WI ,54201
ST MARY SCHOOL,WISCONSIN,2623385602,415 ROOSEVELT DR,WEST BEND,WI ,53090
ST MARY SCHOOL,WASHINGTON,3605321230,518 N H ST,ABERDEEN,WA ,98520
ST MARY SCHOOL,MARYLAND,3012922522,13407 PISCATAWAY RD,CLINTON,MD ,20735
ST MARY SCHOOL,CALIFORNIA,4088422827,7900 CHURCH ST,GILROY,CA ,95020
ST MARY SCHOOL,OHIO,4402434555,265 BAKER ST,BEREA,OH ,44017
ST MARY SCHOOL,OHIO,7403821607,274 N PROSPECT ST,MARION,OH ,43302
ST MARY SCHOOL,OHIO,4193422626,26 WEST ST,SHELBY,OH ,44875
ST MARY SCHOOL,OHIO,4194475202,75 S SANDUSKY ST,TIFFIN,OH ,44883
ST MARY SCHOOL,NEW YORK,5853944300,16 E GIBSON ST,CANANDAIGUA,NY ,14424
ST MARY SCHOOL,NEW YORK,6315814266,16 HARRISON AVE,EAST ISLIP,NY ,11730
ST MARY SCHOOL,OHIO,5133210703,2845 ERIE AVE,CINCINNATI,OH ,45208
ST MARY SCHOOL,NORTH CAROLINA,9197351931,1601 EDGERTON ST,GOLDSBORO,NC ,27530
ST MARY SCHOOL,NEW YORK,7185470500,3956 CARPENTER AVE,BRONX,NY ,10466
ST MARY SCHOOL,NEW YORK,8458969561,106 JACKSON ST BOX 780,FISHKILL,NY ,12524
ST MARY SCHOOL,NEW JERSEY,6092981448,30 ELIZABETH ST,BORDENTOWN,NJ ,08505
ST MARY SCHOOL,NEW JERSEY,8566296190,32A CARROLL AVE,WILLIAMSTOWN,NJ ,08094
ST MARY SCHOOL,NEW JERSEY,8564560913,340 CUMBERLAND ST,GLOUCESTER CITY,NJ ,08030
ST MARY SCHOOL,NEW JERSEY,9739561542,95 SHERMAN AVE,PATERSON,NJ ,07502
ST MARY SCHOOL,ILLINOIS,8474596270,50 N BUFFALO GROVE RD,BUFFALO GROVE,IL ,60089
ST MARY SCHOOL & COMMUNITY MIDDLE SCHOOL,ILLINOIS,8156252253,6 W 6TH ST,STERLING,IL ,61081
ST MARY SCHOOL - MAIN CAMPUS,MICHIGAN,5864684570,96 NEW ST,MOUNT CLEMENS,MI ,48043
ST MARY SCHOOL SYSTEM,KENTUCKY,2704421681,1243 ELMDALE RD,PADUCAH,KY ,42003
ST MARY SPRINGS ACADEMY,WISCONSIN,9209240993,114 AMORY ST,FOND DU LAC,WI ,54935
ST MARY ST AUGUSTINE SCHOOL,ILLINOIS,6182344958,1900 W BELLE ST,BELLEVILLE,IL ,62226
ST MARY ST JOSEPH SCHOOL,CONNECTICUT,8604238479,35 VALLEY ST,WILLIMANTIC,CT ,06226
ST MARY STAR OF SEA ELEMENTARY SCHOOL,MASSACHUSETTS,9789273259,13 CHAPMAN ST,BEVERLY,MA ,01915
ST MARY STAR OF SEA SCHOOL,NEW YORK,7183272242,595 BEACH 19TH ST,FAR ROCKAWAY,NY ,11691
ST MARY STAR OF THE SEA SCHOOL,NEW YORK,3718851527,580 MINNIEFORD AVE,BRONX,NY ,10464
ST MARY STAR OF THE SEA SCHOOL,OREGON,5033253771,1411 GRAND AVE,ASTORIA,OR ,97103
ST MARY STAR OF THE SEA SCHOOL,VIRGINIA,7577236358,14 N WILLARD AVE,HAMPTON,VA ,23663
ST MARY STAR OF THE SEA SCHOOL,MICHIGAN,5177848811,116 E WESLEY ST,JACKSON,MI ,49201
ST MARY STAR OF THE SEA SCHOOL,ILLINOIS,7737676160,6424 S KENNETH AVE,CHICAGO,IL ,60629
ST MARY STAR OF THE SEA SCHOOL,CALIFORNIA,7607227259,515 WISCONSIN AVE,OCEANSIDE,CA ,92054
ST MARY VISITATION SCHOOL,WISCONSIN,2627827057,13000 JUNEAU BLVD,ELM GROVE,WI ,53122
ST MARY'S ACADEMY,LOUISIANA,5042450318,6905 CHEF MENTEUR HWY,NEW ORLEANS,LA ,70126
ST MARY'S ACADEMY,MASSACHUSETTS,4135670907,56 HOPKINS PL,LONGMEADOW,MA ,01106
ST MARY'S ACADEMY,CALIFORNIA,3106748470,701 GRACE AVE,INGLEWOOD,CA ,90301
ST MARY'S ACADEMY,NEW YORK,3156353977,49 SYRACUSE ST,BALDWINSVILLE,NY ,13027
ST MARY'S ACADEMY,NEW YORK,5182983372,1129 STATE ROUTE 9,CHAMPLAIN,NY ,12919
ST MARY'S ACADEMY,COLORADO,3037628300,4545 S UNIVERSITY BLVD,ENGLEWOOD,CO ,80113
ST MARY'S ARMENIAN TUFENKIAN,CALIFORNIA,8182407030,1200 CARLTON DR,GLENDALE,CA ,91205
ST MARY'S ASSUMPTION SCHOOL,LOUISIANA,3188763651,PO BOX 309,COTTONPORT,LA ,71327
ST MARY'S ASSUMPTION SCHOOL,MICHIGAN,5172694625,204 ALBERS RD,BRONSON,MI ,49028
ST MARY'S CATHOLIC SCHOOL,MINNESOTA,3206293953,815 6TH AVE SW,PINE CITY,MN ,55063
ST MARY'S CATHOLIC SCHOOL,CALIFORNIA,6612735555,1600 E AVENUE R4,PALMDALE,CA ,93550
ST MARY'S CATHOLIC SCHOOL,FLORIDA,3216364208,1152 SEMINOLE DR,ROCKLEDGE,FL ,32955
ST MARY'S CATHOLIC SCHOOL,ILLINOIS,8158955215,222 WATERMAN ST,SYCAMORE,IL ,60178
ST MARY'S CATHOLIC SCHOOL,CALIFORNIA,7078223877,1730 JANES RD,ARCATA,CA ,95521
ST MARY'S CATHOLIC SCHOOL,OKLAHOMA,5807654387,415 S 7TH ST,PONCA CITY,OK ,74601
ST MARY'S CATHOLIC SCHOOL,OKLAHOMA,4052822071,502 E WARNER AVE,GUTHRIE,OK ,73044
ST MARY'S CATHOLIC SCHOOL,VIRGINIA,8047401048,9501 GAYTON RD,RICHMOND,VA ,23229
ST MARY'S CATHOLIC SCHOOL,TEXAS,5123651431,520 WASHBURN ST,TAYLOR,TX ,76574
ST MARY'S CATHOLIC SCHOOL,TEXAS,9565461805,1300 E LOS EBANOS BLVD,BROWNSVILLE,TX ,78520
ST MARY'S CATHOLIC SCHOOL,WASHINGTON,5099244300,14601 E 4TH AVE,SPOKANE VALLEY,WA ,99216
ST MARY'S CATHOLIC SCHOOL,MASSACHUSETTS,5083394800,330 PRATT ST,MANSFIELD,MA ,02048
ST MARY'S CATHOLIC SCHOOL,INDIANA,8129440888,420 E 8TH ST,NEW ALBANY,IN ,47150
ST MARY'S CATHOLIC SCHOOL,COLORADO,9703538100,2351 22ND AVE,GREELEY,CO ,80631
ST MARY'S CATHOLIC SCHOOL & PRESCHOOL,ARKANSAS,8702363681,310 N 2ND ST,PARAGOULD,AR ,72450
ST MARY'S CATHOLIC SCHOOL BELEN,NEW MEXICO,5058640484,CHURCH AND 10TH STS,BELEN,NM ,87002
ST MARY'S CATHOLIC SCHOOL K-12,MINNESOTA,5077944121,104 SAINT MARYS ST NW,SLEEPY EYE,MN ,56085
ST MARY'S CENTRAL GRADE SCHOOL,WEST VIRGINIA,3046229831,107 E PIKE ST,CLARKSBURG,WV ,26301
ST MARY'S CENTRAL SCHOOL,OHIO,7406953189,226 W MAIN ST,SAINT CLAIRSVILLE,OH ,43950
ST MARY'S CHILDREN'S GARDEN,NEVADA,7756886100,595 BELL ST,RENO,NV ,89503
ST MARY'S CHRISTIAN SCHOOL,WASHINGTON,2539849475,10630 GRAVELLY LAKE DR SW,LAKEWOOD,WA ,98499
ST MARY'S COLLEGE HIGH SCHOOL,CALIFORNIA,5105596255,1294 ALBINA AVE,BERKELEY,CA ,94706
ST MARY'S COLLEGE PREPARTORY HIGH SCHOOL,NEW YORK,5166272711,51 CLAPHAM AVE,MANHASSET,NY ,11030
ST MARY'S ELEMENTARY & SECONDARY SCHOOL,NEBRASKA,4023364455,300 N 4TH ST,O'NEILL,NE ,68763
ST MARY'S ELEMENTARY SCHOOL,NEW YORK,5166270184,1340 NORTHERN BLVD,MANHASSET,NY ,11030
ST MARY'S ELEMENTARY SCHOOL,WISCONSIN,7158302278,1828 LYNN AVE,ALTOONA,WI ,54720
ST MARY'S ELEMENTARY SCHOOL,CALIFORNIA,4083543944,30 LYNDON AVE,LOS GATOS,CA ,95030
ST MARY'S ELEMENTARY SCHOOL,TEXAS,8309973914,202 S ORANGE ST,FREDERICKSBURG,TX ,78624
ST MARY'S ELEMENTARY SCHOOL,VIRGINIA,7035491646,400 GREEN ST,ALEXANDRIA,VA ,22314
ST MARY'S ELEMENTARY SCHOOL,IOWA,5153322134,303 3RD AVE N,HUMBOLDT,IA ,50548
ST MARY'S ELEMENTARY SCHOOL,KANSAS,6202316941,301 E 9TH ST,PITTSBURG,KS ,66762
ST MARY'S EPISCOPAL SCHOOL,TENNESSEE,9015371472,60 PERKINS EXT,MEMPHIS,TN ,38117
ST MARY'S GRADE SCHOOL,NORTH DAKOTA,7012230225,807 E THAYER AVE,BISMARCK,ND ,58501
ST MARY'S HALL,TEXAS,2104839100,9401 STARCREST DR,SAN ANTONIO,TX ,78217
ST MARY'S HIGH SCHOOL,MISSOURI,3144818400,4701 S GRAND BLVD,SAINT LOUIS,MO ,63111
ST MARY'S HIGH SCHOOL,CALIFORNIA,2099573340,PO BOX 7247,STOCKTON,CA ,95267
ST MARY'S HIGH SCHOOL,COLORADO,7196357540,2501 E YAMPA ST,COLORADO SPRINGS,CO ,80909
ST MARY'S INSTITUTE,NEW YORK,5188424100,10 KOPERNICK RD,AMSTERDAM,NY ,12010
ST MARY'S INTERPAROCHIAL SCHOOL,PENNSYLVANIA,2159237522,247 S 5TH ST,PHILADELPHIA,PA ,19106
ST MARY'S MISSION SCHOOL,MINNESOTA,2186793388,PO BOX 189,REDLAKE,MN ,56671
ST MARY'S NATIVITY SCHOOL,LOUISIANA,9855377544,3492 NIES ST,RACELAND,LA ,70394
ST MARY'S OF HANNAH CATHOLIC SCHOOL,MICHIGAN,2312635288,2912 W M 113,KINGSLEY,MI ,49649
ST MARY'S OF LITTLETON,COLORADO,3037982375,6833 S PRINCE ST,LITTLETON,CO ,80120
ST MARY'S OF MEDFORD,OREGON,5417737877,816 BLACK OAK DR,MEDFORD,OR ,97504
ST MARY'S PREP,NEW JERSEY,9736272606,100 US HIGHWAY 46,DENVILLE,NJ ,07834
ST MARY'S PREPARATORY SCHOOL,MICHIGAN,2486830530,3535 INDIAN TRL,ORCHARD LAKE,MI ,48324
ST MARY'S PRIMARY SCHOOL,MASSACHUSETTS,5088229480,106 WASHINGTON ST,TAUNTON,MA ,02780
ST MARY'S SCHOOL,MASSACHUSETTS,5089953696,115 ILLINOIS ST,NEW BEDFORD,MA ,02745
ST MARY'S SCHOOL,MASSACHUSETTS,7816655037,4 MYRTLE ST,MELROSE,MA ,02176
ST MARY'S SCHOOL,MASSACHUSETTS,7817295515,162 WASHINGTON ST,WINCHESTER,MA ,01890
ST MARY'S SCHOOL,MASSACHUSETTS,4132431079,115 ORCHARD ST,LEE,MA ,01238
ST MARY'S SCHOOL,MASSACHUSETTS,4139679936,SOUTH & CHARLES STS,WARE,MA ,01082
ST MARY'S SCHOOL,MICHIGAN,6168421282,421 E EXCHANGE ST,SPRING LAKE,MI ,49456
ST MARY'S SCHOOL,MICHIGAN,8106864790,11208 N SAGINAW ST,MOUNT MORRIS,MI ,48458
ST MARY'S SCHOOL,MINNESOTA,2186435443,210 4TH ST N,BRECKENRIDGE,MN ,56520
ST MARY'S SCHOOL,MINNESOTA,5073765236,1206 8TH AVE,WORTHINGTON,MN ,56187
ST MARY'S SCHOOL,MINNESOTA,3203653693,146 S 10TH ST,BIRD ISLAND,MN ,55310
ST MARY'S SCHOOL,KANSAS,7857263185,605 MONROE ST,ELLIS,KS ,67637
ST MARY'S SCHOOL,ARKANSAS,8702652921,217 SAINT MARY ST,LAKE VILLAGE,AR ,71653
ST MARY'S SCHOOL,ILLINOIS,2172677730,225 N STATE ST,WESTVILLE,IL ,61883
ST MARY'S SCHOOL,CALIFORNIA,7607433431,130 E 13TH AVE,ESCONDIDO,CA ,92025
ST MARY'S SCHOOL,ALASKA,9074863513,2932 MILL BAY RD,KODIAK,AK ,99615
ST MARY'S SCHOOL,MISSOURI,4174762824,202 FRONT ST,PIERCE CITY,MO ,65723
ST MARY'S SCHOOL,MISSOURI,6606934502,608 KANSAS AVE,MONTROSE,MO ,64770
ST MARY'S SCHOOL,NEBRASKA,4027483433,PO BOX 427,OSMOND,NE ,68765
ST MARY'S SCHOOL,NEW YORK,5182370652,12 6TH ST,WATERFORD,NY ,12188
ST MARY'S SCHOOL,NEW YORK,6074321450,5588 STATE HIGHWAY 7,ONEONTA,NY ,13820
ST MARY'S SCHOOL,NEW YORK,7184471842,1124 BAY ST,STATEN ISLAND,NY ,10305
ST MARY'S SCHOOL,NEW YORK,3153863572,2 POWERS ST,CANTON,NY ,13617
ST MARY'S SCHOOL,NEW YORK,5185857433,64 AMHERST AVE,TICONDEROGA,NY ,12883
ST MARY'S SCHOOL,NEW MEXICO,5052435470,224 7TH ST NW,ALBUQUERQUE,NM ,87102
ST MARY'S SCHOOL,NEW YORK,9149657048,15 SAINT MARYS ST,YONKERS,NY ,10701
ST MARY'S SCHOOL,NEW JERSEY,9088524791,159 LIBERTY ST,HACKETTSTOWN,NJ ,07840
ST MARY'S SCHOOL,OHIO,4195479687,615 VINE ST,CLYDE,OH ,43410
ST MARY'S SCHOOL,OHIO,4192982531,314 S LOCUST ST,EDGERTON,OH ,43517
ST MARY'S SCHOOL,NEW YORK,6077565614,61 N MAIN ST,CORTLAND,NY ,13045
ST MARY'S SCHOOL,MARYLAND,3019326883,13735 NOTRE DAME PL,BRYANTOWN,MD ,20617
ST MARY'S SCHOOL,MARYLAND,3015770031,7207 ANNAPOLIS RD,LANDOVER HILLS,MD ,20784
ST MARY'S SCHOOL,WISCONSIN,6089942435,531 CONGRESS ST,BLOOMINGTON,WI ,53804
ST MARY'S SCHOOL,LOUISIANA,3183528394,1101 E 5TH ST,NATCHITOCHES,LA ,71457
ST MARY'S SCHOOL,VERMONT,8023888392,86 SHANNON ST,MIDDLEBURY,VT ,05753
ST MARY'S SCHOOL,MICHIGAN,9066356141,360 MAPLE ST,SAULT SAINTE MARIE,MI ,49783
ST MARY'S SCHOOL,ILLINOIS,6184659719,1015 MILTON RD,ALTON,IL ,62002
ST MARY'S SCHOOL FOR THE DEAF,NEW YORK,7168347200,2253 MAIN ST,BUFFALO,NY ,14214
ST MARY'S STAR OF THE SEA,CONNECTICUT,8604437758,16 HUNTINGTON ST,NEW LONDON,CT ,06320
ST MARY'S VISITATION SCHOOL,MICHIGAN,6166819701,2455 146TH AVE SW,BYRON CENTER,MI ,49315
ST MARY-BASHA CATHOLIC SCHOOL,ARIZONA,4809634951,200 W GALVESTON ST,CHANDLER,AZ ,85225
ST MARY-SACRED HEART SCHOOL,MASSACHUSETTS,5086953072,57 RICHARDS AVE,NORTH ATTLEBORO,MA ,02760
ST MARY/MCCORMICK CATHOLIC ACADEMY,MICHIGAN,8109827906,1429 BALLENTINE ST,PORT HURON,MI ,48060
ST MARY/ST MICHAEL SCHOOL,WISCONSIN,9207754366,19 S COUNTY ROAD J,CATO,WI ,54230
ST MARYS ACADEMY,OREGON,5032288306,1615 SW 5TH AVE,PORTLAND,OR ,97201
ST MARYS ACADEMY,OREGON,5412966004,1112 CHERRY HEIGHTS RD,THE DALLES,OR ,97058
ST MARYS CATHOLIC ELEMENTARY SCHOOL,PENNSYLVANIA,8148344169,114 QUEENS RD,SAINT MARYS,PA ,15857
ST MARYS CATHOLIC ELEMENTARY SCHOOL,MINNESOTA,5076423324,223 1ST ST NE,MADELIA,MN ,56062
ST MARYS CATHOLIC MIDDLE SCHOOL,PENNSYLVANIA,8148342665,325 CHURCH ST,SAINT MARYS,PA ,15857
ST MARYS CATHOLIC SCHOOL,SOUTH CAROLINA,8643716280,101 HAMPTON AVE,GREENVILLE,SC ,29601
ST MARYS CATHOLIC SCHOOL,TEXAS,2547788141,1019 S 7TH ST,TEMPLE,TX ,76504
ST MARYS CATHOLIC SCHOOL,TEXAS,9038932127,713 S TRAVIS ST,SHERMAN,TX ,75090
ST MARYS CATHOLIC SCHOOL,MONTANA,4062223303,511 S F ST,LIVINGSTON,MT ,59047
ST MARYS CATHOLIC SCHOOL,MINNESOTA,5077253355,308 E SOUTH ST,CALEDONIA,MN ,55921
ST MARYS CATHOLIC SCHOOL,MINNESOTA,5076293270,225 6TH ST,TRACY,MN ,56175
ST MARYS CATHOLIC SCHOOL,ALABAMA,2059235115,6124 MYRON MASSEY BLVD,FAIRFIELD,AL ,35064
ST MARYS CENTRAL CATHOLIC SCHOOL,TEXAS,4323376052,1703 ADAMS AVE,ODESSA,TX ,79761
ST MARYS CHINESE DAY SCHOOL,CALIFORNIA,4159294690,910 BROADWAY,SAN FRANCISCO,CA ,94133
ST MARYS COLGAN JR/SR HIGH SCHOOL,KANSAS,6202314690,212 E 9TH ST,PITTSBURG,KS ,66762
ST MARYS DOMINICAN HIGH SCHOOL,LOUISIANA,5048659401,7701 WALMSLEY AVE,NEW ORLEANS,LA ,70125
ST MARYS ELEMENTARY SCHOOL,MASSACHUSETTS,5087530484,50 RICHLAND ST,WORCESTER,MA ,01610
ST MARYS ELEMENTARY SCHOOL,MARYLAND,3017624179,600 VEIRS MILL RD,ROCKVILLE,MD ,20852
ST MARYS ELEMENTARY SCHOOL,MISSOURI,4176231465,505 W 25TH ST,JOPLIN,MO ,64804
ST MARYS ELEMENTARY SCHOOL,NEW YORK,7166832112,2 SAINT MARYS HL,LANCASTER,NY ,14086
ST MARYS EPISCOPAL DAY SCHOOL,FLORIDA,8132585508,2101 S HUBERT AVE,TAMPA,FL ,33629
ST MARYS EPISCOPAL SCHOOL,OKLAHOMA,4053419541,505 E COVELL RD,EDMOND,OK ,73034
ST MARYS HIGH SCHOOL,MARYLAND,4102633294,113 DUKE OF GLOUCESTER ST,ANNAPOLIS,MD ,21401
ST MARYS HIGH SCHOOL,ARIZONA,6022512500,2525 N 3RD ST,PHOENIX,AZ ,85004
ST MARYS HIGH SCHOOL,NEW YORK,7166834824,142 LAVERACK AVE,LANCASTER,NY ,14086
ST MARYS HIGH SCHOOL BUNDSCHU MEMORIAL,MISSOURI,8162528733,622 N MAIN ST,INDEPENDENCE,MO ,64050
ST MARYS JR-SR HIGH SCHOOL,MASSACHUSETTS,7815957885,35 TREMONT ST,LYNN,MA ,01902
ST MARYS OF KICKAPOO,ILLINOIS,3096913015,9910 W KNOX ST,EDWARDS,IL ,61528
ST MARYS REGIONAL SCHOOL,NEW JERSEY,8566928537,735 UNION RD,VINELAND,NJ ,08360
ST MARYS SCHOOL,NEW JERSEY,9738352010,25 POMPTON AVE,POMPTON LAKES,NJ ,07442
ST MARYS SCHOOL,NEBRASKA,4024763987,1434 K ST,LINCOLN,NE ,68508
ST MARYS SCHOOL,MISSOURI,5738972567,1641 HIGHWAY C,BONNOTS MILL,MO ,65016
ST MARYS SCHOOL,NEW YORK,7166898424,PO BOX 460,SWORMVILLE,NY ,14051
ST MARYS SCHOOL,NEW JERSEY,7326710129,538 CHURCH ST,NEW MONMOUTH,NJ ,07748
ST MARYS SCHOOL,OHIO,7403748181,320 MARION ST,MARIETTA,OH ,45750
ST MARYS SCHOOL,NORTH CAROLINA,9194244138,900 HILLSBOROUGH ST,RALEIGH,NC ,27603
ST MARYS SCHOOL,WISCONSIN,9208452224,1406 MAIN ST,LUXEMBURG,WI ,54217
ST MARYS SCHOOL,WISCONSIN,7154533542,110 N 7TH ST,TOMAHAWK,WI ,54487
ST MARYS SCHOOL,WISCONSIN,2627631515,225 W STATE ST,BURLINGTON,WI ,53105
ST MARYS SCHOOL,TEXAS,9406655395,931 N WEAVER ST,GAINESVILLE,TX ,76240
ST MARYS SCHOOL,TEXAS,2548265991,PO BOX 277,WEST,TX ,76691
ST MARYS SCHOOL,TENNESSEE,8654839700,323 VERMONT AVE,OAK RIDGE,TN ,37830
ST MARYS SCHOOL,ILLINOIS,3098285954,603 W JACKSON ST,BLOOMINGTON,IL ,61701
ST MARYS SCHOOL,ILLINOIS,8158446585,414 N MAIN ST,PONTIAC,IL ,61764
ST MARYS SCHOOL,ILLINOIS,6188263120,835 SWANWICK ST,CHESTER,IL ,62233
ST MARYS SCHOOL,MINNESOTA,3207635861,421 HAWTHORNE ST,ALEXANDRIA,MN ,56308
ST MARYS SCHOOL,MINNESOTA,5074462300,730 S CEDAR AVE,OWATONNA,MN ,55060
ST MARYS SCHOOL,IDAHO,2083427476,2620 W STATE ST,BOISE,ID ,83702
ST MARYS SCHOOL,NEBRASKA,4023673669,1026 5TH ST,DAVID CITY,NE ,68632
ST MARYS SCHOOLS,IOWA,7127324166,312 SENECA ST,STORM LAKE,IA ,50588
ST MARYS SPRINGS ACADEMY HIGH SCHOOL,WISCONSIN,9209214870,255 COUNTY ROAD K,FOND DU LAC,WI ,54937
ST MATHIAS SCHOOL,MINNESOTA,6514375282,23335 NORTHFIELD BLVD,HAMPTON,MN ,55031
ST MATTHEW CATHOLIC SCHOOL,FLORIDA,9043874401,1767 BLANDING BLVD,JACKSONVILLE,FL ,32210
ST MATTHEW CATHOLIC SCHOOL,CALIFORNIA,4153431373,910 S EL CAMINO REAL,SAN MATEO,CA ,94402
ST MATTHEW CATHOLIC SCHOOL,INDIANA,3172513997,4100 E 56TH ST,INDIANAPOLIS,IN ,46220
ST MATTHEW CATHOLIC SCHOOL,KANSAS,7852352188,1000 SE 28TH ST,TOPEKA,KS ,66605
ST MATTHEW CATHOLIC SCHOOL,OREGON,5036482512,221 SE WALNUT ST,HILLSBORO,OR ,97123
ST MATTHEW CATHOLIC SCHOOL,NORTH CAROLINA,7045442070,11525 ELM LN,CHARLOTTE,NC ,28277
ST MATTHEW CATHOLIC SCHOOL,TEXAS,2104785099,10703 WURZBACH RD,SAN ANTONIO,TX ,78230
ST MATTHEW CATHOLIC SCHOOL,TENNESSEE,6156624044,533 SNEED RD W,FRANKLIN,TN ,37069
ST MATTHEW CATHOLIC SCHOOL,TEXAS,9155818801,400 W SUNSET RD,EL PASO,TX ,79922
ST MATTHEW CHRISTIAN SCHOOL,TEXAS,8174472223,380 NW TARRANT AVE,BURLESON,TX ,76028
ST MATTHEW ELEMENTARY SCHOOL,WASHINGTON,2063622785,1230 NE 127TH ST,SEATTLE,WA ,98125
ST MATTHEW ELEMENTARY SCHOOL,PENNSYLVANIA,8146843510,1105 CAMERON AVE,TYRONE,PA ,16686
ST MATTHEW ELEMENTARY SCHOOL,WISCONSIN,9205334103,PO BOX 639,CAMPBELLSPORT,WI ,53010
ST MATTHEW ELEMENTARY SCHOOL,INDIANA,5742894535,1015 E DAYTON ST,SOUTH BEND,IN ,46613
ST MATTHEW ELEMENTARY SCHOOL,INDIANA,8128383621,401 MULBERRY ST,MOUNT VERNON,IN ,47620
ST MATTHEW LUTHERAN SCHOOL,ILLINOIS,8474386103,24480 N OLD MCHENRY RD,HAWTHORN WOODS,IL ,60047
ST MATTHEW LUTHERAN SCHOOL,MICHIGAN,7344250216,5885 N VENOY RD,WESTLAND,MI ,48185
ST MATTHEW LUTHERAN SCHOOL,WASHINGTON,5093275601,6917 N COUNTRY HOMES BLVD,SPOKANE,WA ,99208
